season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2010,regular,4,,AP Top 25,343,Washington,Pac-12,12.0,893,0
2010,regular,4,,AP Top 25,87,Florida,SEC,13.0,777,0
2010,regular,4,,AP Top 25,314,UConn,Big East,14.0,742,0
2010,regular,4,,AP Top 25,216,Ohio State,Big Ten,15.0,702,0
2010,regular,4,,AP Top 25,97,Georgetown,Big East,16.0,588,0
2010,regular,4,,AP Top 25,102,Gonzaga,WCC,17.0,491,0
2010,regular,4,,AP Top 25,52,Clemson,ACC,18.0,426,0
2010,regular,4,,AP Top 25,293,Texas A&M,Big 12,19.0,284,0
2010,regular,4,,AP Top 25,150,Louisville,Big East,20.0,252,0
2010,regular,4,,AP Top 25,90,Florida State,ACC,21.0,219,0
2010,regular,4,,AP Top 25,51,Cincinnati,Big East,22.0,205,0
2010,regular,4,,AP Top 25,34,Butler,Horizon,23.0,200,0
2010,regular,4,,AP Top 25,322,UNLV,Mountain West,24.0,191,0
2010,regular,4,,AP Top 25,230,Portland,WCC,25.0,120,0
2010,regular,4,,AP Top 25,218,Oklahoma State,Big 12,,112,0
2010,regular,4,,AP Top 25,101,Georgia Tech,ACC,,97,0
2010,regular,4,,AP Top 25,157,Marquette,Big East,,82,0
2010,regular,4,,AP Top 25,220,Ole Miss,SEC,,79,0
2010,regular,4,,AP Top 25,168,Miami,ACC,,77,0
2010,regular,4,,AP Top 25,18,BYU,Mountain West,,76,0
2010,regular,4,,AP Top 25,163,Memphis,CUSA,,66,0
2010,regular,4,,AP Top 25,336,Vanderbilt,SEC,,64,0
