Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Student-Athlete Meals (Non-Travel),Excess Transfers Back,Total Coaching Severance,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,"Facilities, Debt Service, and Equipment",Coaches Compensation,Non-Coaching Athletics Staff Compensation,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,"Conference/NCAA Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees
Virginia Commonwealth University,234030,2023,No Football Subdivision,,"$44,510,670.00 ","$603,958.00 ",$0.00 ,$0.00 ,"$1,633,396.00 ","$847,474.00 ","$712,637.00 ","$489,576.00 ","$4,328,981.00 ","$12,130,229.00 ","$7,004,671.00 ","$8,732,868.00 ","$8,026,880.00 ","$44,859,067.00 ","$2,061,419.00 ","$3,474,528.00 ","$2,831,402.00 ","$15,000.00 ","$2,436,978.00 ","$2,448,833.00 ","$6,171,119.00 "
Virginia Commonwealth University,234030,2024,No Football Subdivision,,,,,,,,,,,,,,,,,,,,,,
University of Virginia,234076,2005,Football Bowl Subdivision,Atlantic Coast Conference,"$59,825,403.00 ",,$0.00 ,"$2,846,781.00 ","$6,086,992.00 ","$869,469.00 ","$2,106,998.00 ","$858,505.00 ","$5,701,621.00 ","$16,292,371.00 ","$7,300,864.00 ","$9,607,250.00 ","$8,154,552.00 ","$63,060,540.00 ","$2,508,654.00 ","$1,890,353.00 ","$27,849,391.00 ","$1,320,314.00 ","$10,184,701.00 ","$11,334,095.00 ",$0.00 
University of Virginia,234076,2006,Football Bowl Subdivision,Atlantic Coast Conference,"$51,591,398.00 ",,$0.00 ,"$306,916.00 ","$6,313,739.00 ","$865,281.00 ","$1,961,785.00 ","$1,235,161.00 ","$6,282,217.00 ","$6,064,285.00 ","$9,785,621.00 ","$10,000,452.00 ","$8,775,941.00 ","$52,898,726.00 ","$2,949,527.00 ","$2,240,604.00 ","$14,567,256.00 ","$1,358,402.00 ","$10,502,068.00 ","$12,153,501.00 ",$0.00 
University of Virginia,234076,2007,Football Bowl Subdivision,Atlantic Coast Conference,"$64,852,417.00 ",,$0.00 ,$0.00 ,"$9,368,984.00 ","$1,010,152.00 ","$2,082,800.00 ","$1,112,027.00 ","$7,729,281.00 ","$12,405,962.00 ","$9,896,811.00 ","$10,729,539.00 ","$10,516,861.00 ","$64,069,968.00 ","$3,061,163.00 ","$3,852,105.00 ","$21,940,069.00 ","$1,553,960.00 ","$10,154,426.00 ","$13,651,620.00 ",$0.00 
University of Virginia,234076,2008,Football Bowl Subdivision,Atlantic Coast Conference,"$65,838,543.00 ",,$0.00 ,,"$9,016,015.00 ","$1,285,514.00 ","$2,270,958.00 ","$1,280,853.00 ","$9,729,955.00 ","$10,189,885.00 ","$10,558,573.00 ","$11,774,092.00 ","$9,567,702.00 ","$64,396,612.00 ","$3,009,038.00 ","$3,561,647.00 ","$18,933,467.00 ","$1,556,651.00 ","$11,321,126.00 ","$14,895,325.00 ",$0.00 
University of Virginia,234076,2009,Football Bowl Subdivision,Atlantic Coast Conference,"$63,696,905.00 ",,$0.00 ,"$1,185,667.00 ","$4,917,227.00 ","$1,384,919.00 ","$2,586,000.00 ","$1,180,624.00 ","$8,386,876.00 ","$8,127,518.00 ","$12,281,643.00 ","$11,759,419.00 ","$11,887,012.00 ","$67,141,171.00 ","$2,692,414.00 ","$3,838,732.00 ","$21,553,464.00 ","$1,517,606.00 ","$11,873,073.00 ","$13,791,680.00 ",$0.00 
University of Virginia,234076,2010,Football Bowl Subdivision,Atlantic Coast Conference,"$70,870,412.00 ",,$0.00 ,"$3,871,036.00 ","$7,654,186.00 ","$1,197,710.00 ","$1,401,418.00 ","$884,372.00 ","$8,183,686.00 ","$11,040,717.00 ","$13,001,200.00 ","$11,951,891.00 ","$11,684,196.00 ","$81,841,633.00 ","$2,588,989.00 ","$6,968,961.00 ","$33,975,775.00 ","$275,000.00 ","$11,428,793.00 ","$14,444,012.00 ",$0.00 
University of Virginia,234076,2011,Football Bowl Subdivision,Atlantic Coast Conference,"$72,400,342.00 ",,$0.00 ,"$3,735,335.00 ","$4,235,548.00 ","$1,308,657.00 ","$1,907,500.00 ","$1,123,719.00 ","$8,464,286.00 ","$11,912,682.00 ","$14,070,704.00 ","$12,951,920.00 ","$12,689,991.00 ","$78,439,006.00 ","$2,792,824.00 ","$3,890,059.00 ","$34,503,066.00 ","$500,000.00 ","$11,604,682.00 ","$12,175,077.00 ",$0.00 
University of Virginia,234076,2012,Football Bowl Subdivision,Atlantic Coast Conference,"$75,437,849.00 ",,$0.00 ,"$1,964,692.00 ","$6,340,822.00 ","$1,442,109.00 ","$1,755,895.00 ","$1,251,498.00 ","$9,774,758.00 ","$11,149,209.00 ","$15,638,130.00 ","$13,278,065.00 ","$12,842,671.00 ","$80,835,566.00 ","$2,710,981.00 ","$3,858,361.00 ","$30,706,516.00 ","$200,000.00 ","$17,505,094.00 ","$12,723,485.00 ",$0.00 
University of Virginia,234076,2013,Football Bowl Subdivision,Atlantic Coast Conference,"$84,201,789.00 ",,$0.00 ,"$619,252.00 ","$7,422,625.00 ","$1,754,818.00 ","$1,853,880.00 ","$1,184,313.00 ","$9,656,484.00 ","$17,500,304.00 ","$16,406,122.00 ","$14,283,838.00 ","$13,520,148.00 ","$84,402,710.00 ","$3,677,621.00 ","$5,642,194.00 ","$31,258,670.00 ","$261,000.00 ","$17,371,433.00 ","$13,072,435.00 ",$0.00 
University of Virginia,234076,2014,Football Bowl Subdivision,Atlantic Coast Conference,"$87,426,105.00 ",,$0.00 ,"$508,681.00 ","$9,202,850.00 ","$1,190,110.00 ","$2,190,250.00 ","$1,215,886.00 ","$9,957,380.00 ","$16,366,588.00 ","$18,089,569.00 ","$14,386,910.00 ","$14,317,881.00 ","$83,697,971.00 ","$5,794,808.00 ","$4,733,274.00 ","$25,125,724.00 ","$9,500.00 ","$18,925,939.00 ","$15,872,912.00 ",$0.00 
University of Virginia,234076,2015,Football Bowl Subdivision,Atlantic Coast Conference,"$91,345,925.00 ",,$0.00 ,"$257,129.00 ","$5,998,867.00 ","$1,403,612.00 ","$1,893,500.00 ","$1,247,601.00 ","$9,738,050.00 ","$20,870,070.00 ","$20,293,064.00 ","$14,430,415.00 ","$15,213,617.00 ","$91,256,772.00 ","$5,681,214.00 ","$5,123,443.00 ","$27,762,131.00 ","$314,000.00 ","$26,455,121.00 ","$12,365,432.00 ",$0.00 
University of Virginia,234076,2016,Football Bowl Subdivision,Atlantic Coast Conference,"$99,801,739.00 ","$786,751.00 ",$0.00 ,"$2,636,918.00 ","$6,367,480.00 ","$1,310,498.00 ","$991,200.00 ","$1,536,867.00 ","$10,582,974.00 ","$22,893,967.00 ","$20,112,176.00 ","$15,370,857.00 ","$17,212,051.00 ","$103,272,319.00 ","$4,305,675.00 ","$14,369,930.00 ","$31,556,907.00 ","$515,700.00 ","$24,180,624.00 ","$14,612,987.00 ",$0.00 
University of Virginia,234076,2017,Football Bowl Subdivision,Atlantic Coast Conference,"$100,324,517.00 ","$1,107,312.00 ",$0.00 ,"$1,976,049.00 ","$5,357,508.00 ","$1,405,448.00 ","$1,773,000.00 ","$1,588,067.00 ","$10,189,463.00 ","$21,134,305.00 ","$21,464,522.00 ","$16,473,504.00 ","$17,855,339.00 ","$92,865,175.00 ","$5,146,366.00 ","$8,475,542.00 ","$26,127,871.00 ","$644,432.00 ","$26,189,197.00 ","$12,339,296.00 ",$0.00 
University of Virginia,234076,2018,Football Bowl Subdivision,Atlantic Coast Conference,"$106,926,915.00 ","$1,219,622.00 ",$0.00 ,"$680,717.00 ","$6,675,236.00 ","$1,576,317.00 ","$1,694,500.00 ","$1,740,460.00 ","$12,779,112.00 ","$21,015,534.00 ","$22,518,057.00 ","$18,066,114.00 ","$18,961,246.00 ","$106,581,570.00 ","$6,505,539.00 ","$9,457,752.00 ","$27,594,417.00 ","$265,000.00 ","$32,301,342.00 ","$13,885,527.00 ","$2,340,634.00 "
University of Virginia,234076,2019,Football Bowl Subdivision,Atlantic Coast Conference,"$112,621,238.00 ","$1,163,201.00 ",$0.00 ,"$833,646.00 ","$8,006,177.00 ","$1,455,265.00 ","$2,335,000.00 ","$1,900,260.00 ","$12,831,604.00 ","$18,770,081.00 ","$26,094,900.00 ","$18,908,236.00 ","$20,322,868.00 ","$110,219,117.00 ","$10,294,467.00 ","$9,906,740.00 ","$27,062,954.00 ","$489,010.00 ","$32,529,391.00 ","$11,506,754.00 ","$3,989,842.00 "
University of Virginia,234076,2020,Football Bowl Subdivision,Atlantic Coast Conference,"$111,779,897.00 ","$971,306.00 ",$0.00 ,"$225,759.00 ","$7,509,753.00 ","$1,275,136.00 ","$1,998,350.00 ","$1,443,510.00 ","$11,401,890.00 ","$20,571,366.00 ","$25,443,005.00 ","$20,033,762.00 ","$20,906,060.00 ","$110,283,933.00 ","$7,685,373.00 ","$10,617,187.00 ","$28,252,413.00 ","$5,000.00 ","$30,835,905.00 ","$15,547,037.00 ","$2,625,665.00 "
University of Virginia,234076,2021,Football Bowl Subdivision,Atlantic Coast Conference,"$101,172,838.00 ","$2,058,163.00 ",$0.00 ,"$450,883.00 ","$4,778,749.00 ","$3,484,846.00 ","$574,500.00 ","$281,864.00 ","$7,170,745.00 ","$15,600,739.00 ","$26,356,586.00 ","$18,746,336.00 ","$21,669,427.00 ","$105,346,428.00 ","$5,896,315.00 ","$7,942,045.00 ","$24,594,388.00 ","$63,000.00 ","$34,002,020.00 ","$178,936.00 ","$19,426,918.00 "
University of Virginia,234076,2022,Football Bowl Subdivision,Atlantic Coast Conference,"$150,584,173.00 ","$1,656,350.00 ",$0.00 ,"$995,386.00 ","$12,260,771.00 ","$1,398,102.00 ","$1,099,500.00 ","$2,157,359.00 ","$13,665,607.00 ","$48,228,687.00 ","$27,218,894.00 ","$19,267,825.00 ","$22,635,692.00 ","$161,916,231.00 ","$7,003,681.00 ","$10,569,287.00 ","$62,646,969.00 ","$90,200.00 ","$42,022,268.00 ","$15,114,983.00 ","$8,635,778.00 "
University of Virginia,234076,2023,Football Bowl Subdivision,Atlantic Coast Conference,"$138,225,818.00 ","$1,347,528.00 ",$0.00 ,"$129,489.00 ","$16,440,525.00 ","$988,638.00 ","$1,472,312.00 ","$2,551,973.00 ","$13,350,985.00 ","$30,090,930.00 ","$29,476,902.00 ","$19,684,900.00 ","$22,691,636.00 ","$140,937,329.00 ","$10,316,033.00 ","$9,193,283.00 ","$37,727,949.00 ","$444,000.00 ","$44,764,397.00 ","$14,072,469.00 ","$8,270,145.00 "
University of Virginia,234076,2024,Football Bowl Subdivision,Atlantic Coast Conference,"$145,613,036.00 ","$2,523,272.00 ",$0.00 ,$0.00 ,"$14,232,105.00 ","$1,633,672.00 ","$1,772,701.00 ","$2,644,605.00 ","$16,220,808.00 ","$30,807,913.00 ","$30,312,526.00 ","$21,089,582.00 ","$24,375,852.00 ","$153,535,955.00 ","$11,277,325.00 ","$11,060,211.00 ","$38,857,053.00 ","$1,742,000.00 ","$47,870,589.00 ","$16,586,280.00 ","$9,474,999.00 "
Virginia Military Institute,234085,2005,Football Championship Subdivision,,"$7,527,004.00 ",,$0.00 ,$0.00 ,"$889,666.00 ","$32,874.00 ","$52,500.00 ","$94,314.00 ","$408,119.00 ","$661,429.00 ","$1,690,935.00 ","$1,444,118.00 ","$2,253,049.00 ","$7,490,795.00 ","$44,668.00 ","$79,855.00 ","$4,988,147.00 ","$207,000.00 ","$151,140.00 ","$121,721.00 ","$177,577.00 "
Virginia Military Institute,234085,2006,Football Championship Subdivision,,"$8,155,946.00 ",,$0.00 ,"$100,000.00 ","$987,295.00 ","$60,621.00 ","$60,500.00 ","$130,228.00 ","$490,942.00 ","$599,524.00 ","$1,801,358.00 ","$1,690,940.00 ","$2,234,538.00 ","$8,015,833.00 ","$88,414.00 ","$105,644.00 ","$5,221,909.00 ","$275,500.00 ","$119,863.00 ","$183,044.00 ","$179,550.00 "
Virginia Military Institute,234085,2007,Football Championship Subdivision,,"$8,895,516.00 ",,$0.00 ,"$107,650.00 ","$1,029,889.00 ","$80,922.00 ","$34,056.00 ","$184,208.00 ","$623,996.00 ","$780,872.00 ","$1,841,779.00 ","$1,966,563.00 ","$2,245,581.00 ","$8,729,312.00 ","$118,327.00 ","$145,901.00 ","$5,697,346.00 ","$255,000.00 ","$145,222.00 ","$211,693.00 ","$183,408.00 "
Virginia Military Institute,234085,2008,Football Championship Subdivision,,"$9,602,822.00 ",,$0.00 ,"$47,522.00 ","$1,090,941.00 ","$46,964.00 ","$77,141.00 ","$170,232.00 ","$689,447.00 ","$740,039.00 ","$2,033,201.00 ","$2,012,135.00 ","$2,695,200.00 ","$9,646,479.00 ","$562,593.00 ","$150,063.00 ","$5,933,749.00 ","$178,500.00 ","$276,639.00 ","$269,423.00 ","$187,000.00 "
Virginia Military Institute,234085,2009,Football Championship Subdivision,,"$10,098,137.00 ",,$0.00 ,$0.00 ,"$1,227,915.00 ","$70,805.00 ","$59,479.00 ","$128,811.00 ","$725,250.00 ","$832,211.00 ","$2,070,964.00 ","$1,927,471.00 ","$3,055,231.00 ","$10,005,211.00 ","$586,543.00 ","$169,021.00 ","$5,724,662.00 ","$411,500.00 ","$283,709.00 ","$256,774.00 ","$286,427.00 "
Virginia Military Institute,234085,2010,Football Championship Subdivision,,"$9,834,258.00 ",,$0.00 ,$0.00 ,"$906,391.00 ","$231,411.00 ","$10,000.00 ","$123,732.00 ","$635,226.00 ","$860,822.00 ","$2,102,254.00 ","$1,742,697.00 ","$3,221,725.00 ","$9,598,685.00 ","$592,465.00 ","$148,329.00 ","$5,272,372.00 ","$324,350.00 ","$248,229.00 ","$242,861.00 ","$329,416.00 "
Virginia Military Institute,234085,2011,Football Championship Subdivision,,"$10,713,583.00 ",,$0.00 ,$0.00 ,"$1,132,004.00 ","$171,134.00 ","$40,000.00 ","$142,532.00 ","$749,782.00 ","$970,681.00 ","$2,192,504.00 ","$1,909,439.00 ","$3,405,507.00 ","$10,713,809.00 ","$636,707.00 ","$156,172.00 ","$5,453,282.00 ","$742,000.00 ","$422,643.00 ","$219,293.00 ","$314,375.00 "
Virginia Military Institute,234085,2012,Football Championship Subdivision,,"$11,092,350.00 ",,$0.00 ,$0.00 ,"$1,041,552.00 ","$172,933.00 ","$22,700.00 ","$136,244.00 ","$757,450.00 ","$1,076,220.00 ","$2,275,641.00 ","$1,795,702.00 ","$3,813,908.00 ","$10,856,177.00 ","$560,936.00 ","$116,043.00 ","$4,786,232.00 ","$526,950.00 ","$435,905.00 ","$211,102.00 ","$1,262,445.00 "
Virginia Military Institute,234085,2013,Football Championship Subdivision,,"$11,615,757.00 ",,$0.00 ,$0.00 ,"$1,137,981.00 ","$132,888.00 ","$27,500.00 ","$132,321.00 ","$807,778.00 ","$1,150,538.00 ","$2,388,730.00 ","$2,066,283.00 ","$3,771,738.00 ","$11,059,752.00 ","$669,901.00 ","$190,878.00 ","$4,640,574.00 ","$593,700.00 ","$450,359.00 ","$263,429.00 ","$1,164,725.00 "
Virginia Military Institute,234085,2014,Football Championship Subdivision,,"$11,921,483.00 ",,$0.00 ,$0.00 ,"$1,138,800.00 ","$160,033.00 ","$65,000.00 ","$113,000.00 ","$850,947.00 ","$1,170,836.00 ","$2,354,601.00 ","$2,190,602.00 ","$3,877,664.00 ","$12,524,224.00 ","$737,505.00 ","$251,201.00 ","$6,065,560.00 ","$684,000.00 ","$551,130.00 ","$252,099.00 ","$686,487.00 "
Virginia Military Institute,234085,2015,Football Championship Subdivision,,"$13,022,017.00 ",,$0.00 ,$0.00 ,"$1,566,582.00 ","$98,128.00 ","$55,000.00 ","$98,686.00 ","$844,089.00 ","$1,680,319.00 ","$2,370,281.00 ","$2,227,367.00 ","$4,081,565.00 ","$12,778,011.00 ","$708,870.00 ","$111,182.00 ","$5,101,967.00 ","$940,500.00 ","$485,556.00 ","$236,598.00 ","$1,550,128.00 "
Virginia Military Institute,234085,2016,Football Championship Subdivision,,"$13,577,815.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,903,087.00 ","$112,304.00 ","$8,500.00 ","$140,628.00 ","$869,943.00 ","$1,813,628.00 ","$2,341,815.00 ","$2,347,434.00 ","$4,040,476.00 ","$13,322,369.00 ","$693,347.00 ","$56,840.00 ","$4,644,491.00 ","$747,500.00 ","$508,754.00 ","$250,057.00 ","$916,076.00 "
Virginia Military Institute,234085,2017,Football Championship Subdivision,,"$13,221,773.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,608,164.00 ","$47,631.00 ","$5,000.00 ","$149,842.00 ","$1,039,876.00 ","$1,550,830.00 ","$2,383,599.00 ","$2,342,406.00 ","$4,094,425.00 ","$13,359,816.00 ","$664,569.00 ","$77,151.00 ","$4,788,265.00 ","$671,500.00 ","$672,278.00 ","$328,934.00 ","$330,602.00 "
Virginia Military Institute,234085,2018,Football Championship Subdivision,,"$13,937,418.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,564,212.00 ","$64,241.00 ","$30,000.00 ","$157,356.00 ","$1,016,836.00 ","$1,463,905.00 ","$2,498,562.00 ","$2,635,145.00 ","$4,507,161.00 ","$14,356,990.00 ","$804,072.00 ","$69,399.00 ","$5,459,689.00 ","$766,000.00 ","$592,802.00 ","$270,321.00 ","$280,628.00 "
Virginia Military Institute,234085,2019,Football Championship Subdivision,,"$13,924,452.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,335,846.00 ","$51,936.00 ","$75,000.00 ","$182,585.00 ","$1,050,940.00 ","$1,541,713.00 ","$2,579,760.00 ","$2,277,369.00 ","$4,829,303.00 ","$14,812,966.00 ","$505,236.00 ","$66,987.00 ","$5,775,114.00 ","$984,500.00 ","$638,051.00 ","$288,407.00 ","$319,563.00 "
Virginia Military Institute,234085,2020,Football Championship Subdivision,,"$13,297,101.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,218,409.00 ","$67,197.00 ","$50,000.00 ","$136,037.00 ","$903,558.00 ","$1,224,184.00 ","$2,701,933.00 ","$2,128,789.00 ","$4,866,994.00 ","$13,924,163.00 ","$388,764.00 ","$70,024.00 ","$5,093,671.00 ","$919,000.00 ","$531,727.00 ","$275,652.00 ","$262,731.00 "
Virginia Military Institute,234085,2021,Football Championship Subdivision,,"$12,894,696.00 ",$0.00 ,$0.00 ,$0.00 ,"$836,845.00 ","$57,476.00 ","$10,000.00 ","$18,035.00 ","$801,670.00 ","$1,203,008.00 ","$2,727,037.00 ","$2,023,201.00 ","$5,217,424.00 ","$13,615,086.00 ","$330,666.00 ","$90,604.00 ","$5,594,757.00 ","$159,000.00 ","$675,985.00 ","$114,539.00 ","$62,990.00 "
Virginia Military Institute,234085,2022,Football Championship Subdivision,,"$16,114,012.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,452,571.00 ","$57,564.00 ","$68,500.00 ","$152,007.00 ","$890,120.00 ","$2,646,929.00 ","$2,926,432.00 ","$2,014,058.00 ","$5,905,831.00 ","$15,960,931.00 ","$390,192.00 ","$167,201.00 ","$6,892,834.00 ","$648,500.00 ","$347,716.00 ","$297,659.00 ","$737,987.00 "
Virginia Military Institute,234085,2023,Football Championship Subdivision,,"$17,878,290.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,310,201.00 ","$129,011.00 ","$9,000.00 ","$156,609.00 ","$1,619,982.00 ","$3,502,308.00 ","$3,126,492.00 ","$2,006,841.00 ","$6,017,846.00 ","$16,268,380.00 ","$228,100.00 ","$139,137.00 ","$7,663,672.00 ","$654,700.00 ","$851,872.00 ","$350,923.00 ","$295,880.00 "
Virginia Military Institute,234085,2024,Football Championship Subdivision,,"$18,855,563.00 ",$0.00 ,$0.00 ,$0.00 ,"$818,516.00 ","$137,768.00 ","$9,000.00 ","$149,950.00 ","$1,914,089.00 ","$3,389,477.00 ","$3,283,972.00 ","$2,163,580.00 ","$6,989,211.00 ","$18,043,818.00 ","$629,936.00 ","$127,540.00 ","$8,570,222.00 ","$696,584.00 ","$954,482.00 ","$290,392.00 ","$346,486.00 "
Eastern Washington University,235097,2005,Football Championship Subdivision,,"$7,089,130.00 ",,$0.00 ,,"$1,452,280.00 ","$92,661.00 ","$51,245.00 ","$92,320.00 ","$861,717.00 ","$737,284.00 ","$1,216,343.00 ","$898,724.00 ","$1,686,556.00 ","$6,746,265.00 ","$1,018,919.00 ","$113,451.00 ","$196,522.00 ","$371,769.00 ","$300,915.00 ","$408,526.00 ","$3,104,994.00 "
Eastern Washington University,235097,2006,Football Championship Subdivision,,"$6,681,707.00 ",,$0.00 ,$0.00 ,"$1,330,307.00 ","$88,053.00 ","$32,684.00 ","$101,262.00 ","$904,714.00 ","$516,958.00 ","$1,044,897.00 ","$903,907.00 ","$1,758,925.00 ","$6,676,645.00 ","$625,819.00 ","$192,010.00 ","$508,126.00 ","$258,552.00 ","$302,906.00 ","$275,590.00 ","$3,188,811.00 "
Eastern Washington University,235097,2007,Football Championship Subdivision,,"$8,214,519.00 ",,$0.00 ,$0.00 ,"$1,712,886.00 ","$105,460.00 ","$148,221.00 ","$103,982.00 ","$996,984.00 ","$685,394.00 ","$1,624,192.00 ","$1,153,891.00 ","$1,683,509.00 ","$8,550,320.00 ","$601,578.00 ","$159,275.00 ","$408,914.00 ","$943,200.00 ","$165,065.00 ","$495,526.00 ","$4,350,274.00 "
Eastern Washington University,235097,2008,Football Championship Subdivision,,"$7,939,850.00 ",,$0.00 ,$0.00 ,"$1,456,982.00 ","$93,209.00 ","$34,000.00 ","$181,219.00 ","$847,517.00 ","$771,439.00 ","$1,525,869.00 ","$1,152,336.00 ","$1,877,279.00 ","$7,662,254.00 ","$551,867.00 ","$28,706.00 ","$498,386.00 ","$610,207.00 ","$215,834.00 ","$185,443.00 ","$4,108,593.00 "
Eastern Washington University,235097,2009,Football Championship Subdivision,,"$8,823,524.00 ",,$0.00 ,$0.00 ,"$1,462,275.00 ","$111,163.00 ","$85,325.00 ","$99,168.00 ","$976,782.00 ","$908,999.00 ","$1,692,463.00 ","$1,445,428.00 ","$2,041,921.00 ","$8,856,933.00 ","$314,068.00 ","$143,415.00 ","$312,127.00 ","$1,239,325.00 ","$375,122.00 ","$226,070.00 ","$4,671,361.00 "
Eastern Washington University,235097,2010,Football Championship Subdivision,,"$8,712,531.00 ",,$0.00 ,$0.00 ,"$1,409,806.00 ","$86,949.00 ","$43,900.00 ","$103,927.00 ","$724,381.00 ","$920,518.00 ","$1,643,448.00 ","$1,518,675.00 ","$2,260,927.00 ","$9,161,127.00 ","$453,415.00 ","$108,188.00 ","$327,993.00 ","$630,000.00 ","$488,506.00 ","$128,103.00 ","$5,195,336.00 "
Eastern Washington University,235097,2011,Football Championship Subdivision,,"$9,783,297.00 ",,$0.00 ,$0.00 ,"$1,476,394.00 ","$71,431.00 ","$142,503.00 ","$99,229.00 ","$832,368.00 ","$1,301,293.00 ","$1,812,153.00 ","$1,574,410.00 ","$2,473,516.00 ","$10,195,530.00 ","$465,641.00 ","$120,105.00 ","$548,032.00 ","$716,387.00 ","$503,992.00 ","$426,623.00 ","$5,458,729.00 "
Eastern Washington University,235097,2012,Football Championship Subdivision,,"$10,941,866.00 ",,$0.00 ,$0.00 ,"$1,734,064.00 ","$93,449.00 ","$74,126.00 ","$110,917.00 ","$1,184,639.00 ","$1,637,810.00 ","$1,948,999.00 ","$1,500,519.00 ","$2,657,343.00 ","$11,126,014.00 ","$579,070.00 ","$308,209.00 ","$663,507.00 ","$810,578.00 ","$563,146.00 ","$161,614.00 ","$5,983,870.00 "
Eastern Washington University,235097,2013,Football Championship Subdivision,,"$11,538,027.00 ",,$0.00 ,$0.00 ,"$1,684,434.00 ","$161,660.00 ","$23,410.00 ","$160,479.00 ","$1,256,671.00 ","$1,667,739.00 ","$2,045,123.00 ","$1,576,395.00 ","$2,962,116.00 ","$11,469,560.00 ","$708,874.00 ","$89,178.00 ","$618,189.00 ","$724,210.00 ","$716,208.00 ","$375,052.00 ","$6,037,849.00 "
Eastern Washington University,235097,2014,Football Championship Subdivision,,"$13,360,741.00 ",,$0.00 ,$0.00 ,"$1,697,155.00 ","$235,493.00 ","$47,580.00 ","$159,309.00 ","$1,706,015.00 ","$1,910,057.00 ","$2,410,851.00 ","$1,752,715.00 ","$3,441,566.00 ","$12,858,386.00 ","$885,174.00 ","$107,264.00 ","$726,708.00 ","$1,042,720.00 ","$599,377.00 ","$344,136.00 ","$6,897,007.00 "
Eastern Washington University,235097,2015,Football Championship Subdivision,,"$14,307,543.00 ",,$0.00 ,$0.00 ,"$1,830,258.00 ","$291,412.00 ","$52,299.00 ","$222,792.00 ","$1,855,448.00 ","$1,775,227.00 ","$2,621,715.00 ","$1,970,112.00 ","$3,688,280.00 ","$13,490,466.00 ","$791,896.00 ","$106,826.00 ","$1,109,482.00 ","$726,500.00 ","$707,513.00 ","$685,709.00 ","$7,106,540.00 "
Eastern Washington University,235097,2016,Football Championship Subdivision,,"$14,666,480.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,205,253.00 ","$346,972.00 ","$48,913.00 ","$229,166.00 ","$2,192,776.00 ","$1,779,267.00 ","$2,784,180.00 ","$2,084,051.00 ","$3,995,902.00 ","$13,355,273.00 ","$1,120,146.00 ","$116,054.00 ","$656,663.00 ","$742,000.00 ","$506,434.00 ","$628,585.00 ","$7,329,391.00 "
Eastern Washington University,235097,2017,Football Championship Subdivision,,"$15,753,819.00 ",$0.00 ,$0.00 ,"$10,397.00 ","$980,101.00 ","$348,126.00 ","$45,338.00 ","$195,479.00 ","$2,858,978.00 ","$1,988,659.00 ","$2,947,761.00 ","$2,227,345.00 ","$4,151,635.00 ","$14,797,340.00 ","$1,024,750.00 ","$125,962.00 ","$732,875.00 ","$730,500.00 ","$1,613,724.00 ","$816,157.00 ","$7,497,372.00 "
Eastern Washington University,235097,2018,Football Championship Subdivision,,"$15,841,035.00 ",$0.00 ,$0.00 ,"$43,202.00 ","$862,564.00 ","$406,453.00 ","$90,195.00 ","$220,040.00 ","$2,739,580.00 ","$2,082,807.00 ","$2,728,745.00 ","$2,501,110.00 ","$4,166,339.00 ","$13,810,812.00 ","$815,476.00 ","$229,949.00 ","$679,022.00 ","$1,003,000.00 ","$554,391.00 ","$685,172.00 ","$7,768,802.00 "
Eastern Washington University,235097,2019,Football Championship Subdivision,,"$18,343,811.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,057,525.00 ","$528,566.00 ","$147,442.00 ","$253,392.00 ","$3,588,283.00 ","$2,877,871.00 ","$2,919,965.00 ","$2,689,469.00 ","$4,281,298.00 ","$18,409,766.00 ","$933,005.00 ","$237,035.00 ","$826,278.00 ","$747,000.00 ","$1,474,694.00 ","$683,425.00 ","$11,283,329.00 "
Eastern Washington University,235097,2020,Football Championship Subdivision,,"$15,961,994.00 ",$0.00 ,$0.00 ,"$13,133.00 ","$680,966.00 ","$458,264.00 ","$82,537.00 ","$153,612.00 ","$2,569,435.00 ","$2,380,040.00 ","$2,998,633.00 ","$2,436,427.00 ","$4,188,947.00 ","$16,395,550.00 ","$209,231.00 ","$536,294.00 ","$568,630.00 ","$972,600.00 ","$403,792.00 ","$833,915.00 ","$10,696,088.00 "
Eastern Washington University,235097,2021,Football Championship Subdivision,,"$13,797,357.00 ",$0.00 ,$0.00 ,"$56,511.00 ","$428,097.00 ","$858,483.00 ","$2,800.00 ","$15,087.00 ","$1,554,497.00 ","$2,143,023.00 ","$3,138,606.00 ","$1,481,945.00 ","$4,118,308.00 ","$13,709,668.00 ","$34,945.00 ","$220,777.00 ","$559,046.00 ","$102,000.00 ","$582,862.00 ","$4,806.00 ","$10,505,232.00 "
