gameId,date,season,teamId,team,isHome,opponentId,opponent,team_points,opp_points,team_fieldGoalsMade,team_fieldGoalsAttempted,team_freeThrowsMade,team_freeThrowsAttempted,team_threePointsMade,team_threePointsAttempted,team_offensiveRebounds,team_totalRebounds,team_assists,team_turnovers,team_personalFouls,team_steals,team_blockedShots,team_fieldGoalPercentage,team_threePointPercentage,team_freeThrowPercentage,opp_fieldGoalsMade,opp_fieldGoalsAttempted,opp_freeThrowsMade,opp_freeThrowsAttempted,opp_threePointsMade,opp_threePointsAttempted,opp_offensiveRebounds,opp_totalRebounds,opp_assists,opp_turnovers,opp_personalFouls,opp_steals,opp_blockedShots,opp_fieldGoalPercentage,opp_threePointPercentage,opp_freeThrowPercentage
6517255,2026-01-01,2026,409,Idaho St.,False,1767,Sacramento St.,61,46,25,54,6,8,5,12,8,42,8,23,16,6,5,46.3%,41.7%,75.0%,16,56,10,17,4,24,10,30,9,16,13,17,1,28.6%,16.7%,58.8%
6517284,2026-01-01,2026,1291,Oregon,True,1649,Northwestern,87,54,31,60,15,17,10,19,10,33,22,10,15,13,2,51.7%,52.6%,88.2%,23,50,4,5,4,13,5,24,12,22,19,4,6,46.0%,30.8%,80.0%
6517284,2026-01-01,2026,1649,Northwestern,False,1291,Oregon,54,87,23,50,4,5,4,13,5,24,12,22,19,4,6,46.0%,30.8%,80.0%,31,60,15,17,10,19,10,33,22,10,15,13,2,51.7%,52.6%,88.2%
6517352,2026-01-01,2026,273,South Dakota St.,True,949,St. Thomas (MN),67,49,27,58,9,11,4,20,12,39,16,12,13,6,1,46.6%,20.0%,81.8%,21,55,2,8,5,21,11,32,11,14,11,5,4,38.2%,23.8%,25.0%
6517352,2026-01-01,2026,949,St. Thomas (MN),False,273,South Dakota St.,49,67,21,55,2,8,5,21,11,32,11,14,11,5,4,38.2%,23.8%,25.0%,27,58,9,11,4,20,12,39,16,12,13,6,1,46.6%,20.0%,81.8%
6517407,2026-01-01,2026,1096,Duke,True,474,Boston College,100,49,35,57,19,28,11,24,8,41,26,14,10,6,5,61.4%,45.8%,67.9%,21,59,3,4,4,21,4,22,7,20,21,6,0,35.6%,19.1%,75.0%
6517407,2026-01-01,2026,474,Boston College,False,1096,Duke,49,100,21,59,3,4,4,21,4,22,7,20,21,6,0,35.6%,19.1%,75.0%,35,57,19,28,11,24,8,41,26,14,10,6,5,61.4%,45.8%,67.9%
6517412,2026-01-01,2026,761,Indiana,True,1162,Michigan St.,60,80,22,54,10,11,6,22,10,24,12,16,18,6,0,40.7%,27.3%,90.9%,29,55,14,16,8,17,10,32,17,16,18,4,2,52.7%,47.1%,87.5%
6517412,2026-01-01,2026,1162,Michigan St.,False,761,Indiana,80,60,29,55,14,16,8,17,10,32,17,16,18,4,2,52.7%,47.1%,87.5%,22,54,10,11,6,22,10,24,12,16,18,6,0,40.7%,27.3%,90.9%
6517491,2026-01-01,2026,2298,Pittsburgh,True,1366,Wake Forest,55,74,24,70,3,4,4,19,13,37,20,10,10,5,3,34.3%,21.1%,75.0%,29,58,6,9,10,24,7,41,26,12,9,7,4,50.0%,41.7%,66.7%
6517491,2026-01-01,2026,1366,Wake Forest,False,2298,Pittsburgh,74,55,29,58,6,9,10,24,7,41,26,12,9,7,4,50.0%,41.7%,66.7%,24,70,3,4,4,19,13,37,20,10,10,5,3,34.3%,21.1%,75.0%
6517554,2026-01-01,2026,638,Villanova,True,724,Creighton,74,64,30,59,6,10,8,16,8,33,14,10,9,6,4,50.8%,50.0%,60.0%,25,61,3,10,11,28,13,36,13,14,11,6,7,41.0%,39.3%,30.0%
6517554,2026-01-01,2026,724,Creighton,False,638,Villanova,64,74,25,61,3,10,11,28,13,36,13,14,11,6,7,41.0%,39.3%,30.0%,30,59,6,10,8,16,8,33,14,10,9,6,4,50.8%,50.0%,60.0%
